image_id,image_url,post,no_likes,no_comments,image_labels,image_text,web_entities
37,https://instagram.fftw1-1.fna.fbcdn.net/vp/c4307cb12d2e37f7e7a1a9fdd54edfa6/5B4BA3F7/t51.2885-15/e35/12930919_1078529585574158_1626970056_n.jpg,"Susie passed away yesterday evening. She came into my life quite unexpectedly five years ago. I was photographing in Brooklyn one evening when I saw the coolest little dog sitting on a stoop. I sat down to pet her, and after a few minutes, her owner told me that he was unable to care for her anymore. He asked if I could take her. I was broke at the time. I was sleeping on a friend’s couch. And everyone that I asked told me that it was ‘not the right time’ for a dog. But I was so charmed by Susie, and the whole encounter seemed so fated, that I offered to take her.

It was one of the best decisions I ever made. Susie was twelve years old at the time and didn’t need much. I’d never had a dog before. It was a new experience. I was introduced for the first time to a dog’s unexplainable and unconditional love. After a few weeks, it seemed that Susie’s only concern in life was staying as close to me as possible. There was now a joyous reunion waiting for me at the end of every workday. And I learned that there are few greater blessings than a wildly happy dog greeting you at the door.
Over the last few years, my fiancé Erin developed her own relationship with Susie. As many of you know, Erin started a nonprofit called @susiesseniordogs, to place older dogs in loving homes. Older dogs have the hardest time getting adopted. Because there is such a demand for young dogs, so many senior dogs are either euthanized or forced to spend the remainder of their lives in a shelter. Over the past few years, @susiesseniordogs has placed several hundred senior dogs into homes. There is a warm and active community of people who follow the page. In fact, I think that half the people who come to my book signings are more excited to meet Erin than me.
So it’s been a tough few days, but Erin and I are both very thankful that Susie came into our lives. She was such a special friend. She was my introduction to the love of dogs. And she helped Erin discover her purpose in life. So in a way she’s going to stick around forever. I encourage everyone to follow @susiesseniordogs, and consider allowing an older dog to change your life as well.",182.6k,"6,278",nose dog breed group finger snout dog like mammal hand cat nail ear carnivoran,Border Collie Australian Cattle Dog Humans of New York New York City Susie's Senior Dogs Pet sitting Puppy Humans of New York Pet Adoption,
8,https://scontent-dfw5-1.cdninstagram.com/vp/ee431768eb4312cf469d7a4097818d35/5B26FB4B/t51.2885-15/e35/16789952_1309927359101777_4346870133231190016_n.jpg,"Today in microfashion... (São Paulo, Brazil)",223k,"1,116",road child infrastructure snapshot street vacation girl fun recreation jeans,São Paulo New York City Meme Internet meme Humans of New York Facebook Blog Image Adobe Systems Recreation,
0,https://instagram.fftw1-1.fna.fbcdn.net/vp/6c1dd7dd1c1028d404f319dbc624d070/5B48C09E/t51.2885-15/e35/13129960_1280210128673038_97622377_n.jpg,(2/7) “They finally got Avi breathing through a tube. The anesthesiologist cried when she saw him alive again. She said it was the scariest moment of her career. That night we parked our car in a 24-hour garage. We didn’t move it for five weeks. We slept head-to-toe on the bench in his room. I stared at those monitors non-stop. They told us Avi had Acute Lymphoblastic Leukemia. The tumor was too big to remove so he began 25 months of chemo. Everything went wrong. Complication after complication. The ‘worst case scenario’ happened so many times that we began to expect it. He had over thirty surgeries. They completely removed his esophagus. He couldn’t eat for nineteen months. And he couldn’t talk for seven months-- not a whisper.”,82.4k,"1,251",mobile phone gadget communication device electronic device technology smartphone portable communications device finger hand cellular network,"D #TEAMAVI #MA
AVI GO
 D #TEAMAVI #MA AVI GO",New York University Smartphone Humans of New York Judaism Amudim Rabbi Cancer Childhood cancer Parent Mitzvah
15,https://instagram.fftw1-1.fna.fbcdn.net/vp/3b2956472aaa92f4df049cf7e5ac1d56/5B32AA65/t51.2885-15/e35/13117851_1719870541617003_82585813_n.jpg,"(1/3) ""We’ve been fighting this for thirteen years. Sterling has a brain tumor in the center of his brain where the optic nerves cross. It’s inoperable. Our lives center around keeping the tumor from growing. That’s what we do. We’re here today to pick up a new experimental medicine. Sterling’s had over one thousand seizures. I joke that this whole experience has made me an involuntary Buddhist. When you live in a world of one thousand seizures, you have no choice but to live in the present. You’re jolted out of your mind every few minutes. And you learn about compassion. Having a special needs child has opened me up to the compassion of other people. There are so many people who are willing to help. When we first discovered the tumor, I sent Sterling’s scans to every hospital. I can’t tell you how many doctors gave me their time and didn’t charge a thing. Zero billable hours. Can you believe it? It was like going snorkeling for the first time, and discovering a whole new world of color that I didn’t know existed.""",110.7k,881,sitting furniture fun girl product communication,,Brandon Stanton Social media Memorial Sloan Kettering Cancer Center Humans of New York Humans of New York: Stories Instagram Photographer Photography Document Psychology
25,https://instagram.fftw1-1.fna.fbcdn.net/vp/d27e1950fa44a8d8f934ebc6e45a5edf/5B43773E/t51.2885-15/e35/13188161_1044400045629941_600256891_n.jpg,"“All doctors have those patients who sit on our shoulder. Their image is always with you. One kid will pop into your head every time you hit a wall-- when you encounter a disease that is so unrelenting that you’ve exhausted all therapies and you’re still not even close. One memory will keep you going. It’s a different kid for every doctor. It’s hard to know why they stick with us. I remember one patient that had red hair just like my son. And I remember one five-year-old girl who made me laugh, because when I asked her how she was doing, she told me: ‘I don’t know. You’re the doctor.’ And then there was the boy early in my career who was born without an immune system. He’d already lost two older siblings to the same disease. He lived the first two years of his life in an isolation room with no windows, and his entire exposure to the world was through a black-and-white TV. We gave him a bone marrow transplant, and suddenly his immune system came online. And we took him for a walk in the garden. This boy who had spent his entire life in a windowless room. And a sparrow landed on a bush, and he pointed at it, and said: ‘Bird.’ That moment will always be with me.” ---------------------------------------------------------Dr. O’Reilly is stepping down this year after thirty years as Chairman of the Department of Pediatrics at MSK. As we learn these stories, we are holding a fundraiser in his honor to fight pediatric cancer. Please consider donating. Link in bio.",153.9k,"4,123",professional profession institution library,"men
 men",Memorial Sloan Kettering Cancer Center Neonatology Vinay Kulkarni Child Physician Patient Medicine Pediatrics Cancer Health
28,https://instagram.fftw1-1.fna.fbcdn.net/vp/6464d40d5c29dd58a3eb2dd698931278/5B43BBE6/t51.2885-15/e35/13092500_1724924091114320_1161712272_n.jpg,"“I started failing all my classes when I was twenty, dropped out of college, hitchhiked around a little bit, and ended up at a Buddhist monastery for six years. My relationship with my teacher was very worshipful at first. He taught me so much: how to meditate, how to wok, how to teach. He seemed to know everything. And he seemed to know more about me than I knew myself. So I completely depended upon him. Then he had a sex scandal. And when that happened, I didn’t know what to do. I couldn’t lean on him anymore. So I moved to the city and got my bachelor’s degree at City College. I’m glad for my time at the monastery. I’m a better person because of it, and it taught me discipline. But I don’t think I’ll ever be idolizing anyone again.”",112.1k,889,suit formal wear tuxedo professional gentleman businessperson business executive health & beauty ceremony,,Flatbush 2016 Met Gala New York Zendo Shobo-Ji Zen Studies Society Image Humans of New York Instagram Photograph Facebook Culture
0,https://instagram.fftw1-1.fna.fbcdn.net/vp/11dcc976f9204dada8663343030b838c/5B278800/t51.2885-15/e35/26865598_341579156343655_2728038367424937984_n.jpg,"“Invention is my hobby. I want to invent all kinds of inventions. Many things I have invented already. This is my first invention, which is quite small. It is a generator. One motor can generate electricity from the other motor. I will make a bigger one when I get some money. There are so many wonderful inventors. There is a scientist named Dr. Hanson who has made a wonderful robot that can talk. She can’t say her favorite color, but she is still a beautiful robot. Dr. Hanson is a great scientist and wonderful man. I will be a great scientist too. One day I will go to Australia and make a flying car that doesn’t make pollution. I already have the idea in my brain.” (Dhaka, Bangladesh)",295.6k,"3,095",facial expression person smile hairstyle boy girl temple cool child,,Invention Brandon Stanton Inventor Electric generator Electric motor Boy Humans of New York Child Job Idea
1,https://instagram.fftw1-1.fna.fbcdn.net/vp/cb7abf7a3ff7cd499e72e27f5bb5b39a/5B29B022/t51.2885-15/e35/26864298_369696303493416_4612832740335681536_n.jpg,"“I started this business two years ago when I was twelve. An older friend told me that we could make good money selling fruit. We buy the fruit from villages and bring it to the city where it gets a much higher price. My friend is six years older than me, but he couldn’t keep up, so I set off on my own. I work every day. I’ve already made enough money to buy some land. I’m going to build a house and use the rest for farming. My parents tell me that I should be in school. I respect their views, but I also make more money than them. So it’s hard to listen. Plus I’m learning a lot about business. Even though I’m skipping school, I don’t think I’m skipping education.” (Dhaka, Bangladesh)",269.5k,"3,051",land vehicle vehicle transport mode of transport street road cart rickshaw bicycle accessory motor vehicle,,New York City Humans of New York: The Series Rickshaw Overpaint Brandon Stanton Humans of New York Humans of New York: Stories 人在紐約: 故事版 Kumparan.com Sina Weibo
2,https://instagram.fftw1-1.fna.fbcdn.net/vp/6d66f12e1e413b83d67c5e892c275672/5B486938/t51.2885-15/e35/26332823_1638870599537485_1705403007820103680_n.jpg,"“I always sat in the first row. I always had the highest rank in class. I wanted to be a teacher, just like my teachers. But when it was time to enroll in grade seven, my mother told me we couldn’t afford it. I cried and begged but she just stayed silent. My teachers were so sad that they offered to pay half of the tuition. But it wasn’t enough because we'd still have to pay for the books and exams. So my mother made me understand that school was not in my luck. I’m still seventeen, but now I’m married and I work as a maid for a family. I wash their clothes, wash their dishes, clean their bathroom. Their house is near a school. So every morning I have to watch the children walk by in their uniforms.” (Dhaka, Bangladesh) [*Im getting lots of messages from people wanting to help. A few days ago I got in touch with her family about paying tuition, and looks promising that we'll be able to get her back in school*]",301.2k,"7,453",green face girl eye forehead black hair temple human headgear smile,,New York City Aesha Ash Humans of New York Humans of New York: The Series Humans of New York Humans of New York: Stories Facebook Watch English Child YouTube
3,https://instagram.fftw1-1.fna.fbcdn.net/vp/a1e543d88b10879933b7686882a2620b/5B315B1C/t51.2885-15/e35/26346455_1853302481409992_1180838225095163904_n.jpg,"“My husband passed away when my children were very small. I taught myself handicrafts to survive, but it barely earned enough for us to eat. When my oldest son turned eighteen, I found him a wife. I was hoping that she’d help with the household. But she abandoned us after my granddaughter was born. I came home from work one day and found the child alone. I could only get her to stop crying by soaking an apple in goat’s milk. I’ve been raising her ever since that day. She calls me ‘mummy.’ With a lot of hardships I have made her grow. She survives on apples and milk. But I’m old. And when I’m gone, I don’t know who will take care of her.” (Udaipur, India)",189.3k,"2,306",people temple sitting human girl fun child sari vacation family,,New York City Humans of New York Humans of New York: The Series Humans of New York Brandon Stanton Family Woman Son Child Husband
4,https://instagram.fftw1-1.fna.fbcdn.net/vp/9d380627c4a28d2d367c18a1d9701c10/5B11D665/t51.2885-15/e35/26366714_1645842738836472_7230559975184007168_n.jpg,"Today in microfashion... (Calcutta, India)",235.2k,875,purple headgear girl child recreation costume street shoe,,"New York City Humans of New York: The Series Humans of New York Facebook Watch Facebook Lauren Duca, Charlamagne tha God Child Photograph Female graffiti artists Vice"
5,https://instagram.fftw1-1.fna.fbcdn.net/vp/624e2910637e356c8d9909780b13a7aa/5B47DA83/t51.2885-15/e35/26869860_1405203319588566_2083526766009253888_n.jpg,"“I want to be a police. I’ll find the robbers because they have handkerchiefs on their faces. I’ll tell them that it’s bad to steal. And to never steal again. Then I’ll hit them with a stick and their mom and dad will yell at them. And if they don’t listen, I’ll hit them with a stick again.” (Udaipur, India)",184k,"1,322",sitting girl temple road street travel tourism flooring vacation,,Brandon Stanton New York City Kampala Humans of New York Humans of New York: The Series Humans of New York English The Greatest Showman Facebook Watch Facebook
6,https://instagram.fftw1-1.fna.fbcdn.net/vp/5f5603de01624c96ffdb6e90f7ae9de1/5B10892D/t51.2885-15/e35/26872876_2080331308864485_2716364942667153408_n.jpg,"“I’m known for my honesty. My grandfather taught me that it’s better to carry rocks on your head than to make a dishonest living. I’ve never taken a bribe. I’ve worked in the judicial court for decades and have been offered all sorts of money and gifts. A hospital once offered me an entire floor of their building, if only I’d settle a dispute in their favor. I told them to take it up with someone else.” (Udaipur, India)",239.7k,"1,924",hair man facial hair senior citizen beard professional elder smile window portrait,,India Money Beard Saving Man Notey Bribery Woman Dum Dums Honesty
7,https://instagram.fftw1-1.fna.fbcdn.net/vp/3ab52e184bcbd35e04f00c0699bf2c4b/5B31414E/t51.2885-15/e35/26065859_334735710355701_9888045507543040_n.jpg,"“After we met, I got tired of waiting for him to call. So I dialed his number, let it ring once, and hung up. When he called back I told him it was an accident. Then we spoke for an hour. Now we’re on our honeymoon.” (Udaipur, India)",275.3k,"3,876",formal wear abdomen tradition trunk product sari girl family friendship ceremony,"USE ME
 USE ME",Metropolitan Museum of Art Udaipur Brandon Stanton Humans of New York Humans of New York Photography Image Humans of New York Model Photograph
8,https://instagram.fftw1-1.fna.fbcdn.net/vp/930da721a53718d30d6a32ddbd9481df/5B147E1F/t51.2885-15/e35/26865217_1787098331592223_3798655078731087872_n.jpg,"“We’re from different castes so we have to meet in secret. My parents would never approve. When my older sister married someone outside of the caste, everyone stopped talking to her. So we have to be careful. My parents actually know about him. He sent me a bunch of heart emojis once and my Mom picked up the phone. I tried to say we were just friends but she saw the words ‘Darling’ and ‘Sweetheart.’ She slapped me when she saw it. She thinks that we don’t talk anymore. When I’m financially independent, I’ll finally tell her the truth. But it’s going to be bad.” -Calcutta, India",237k,"2,418",green nature photograph plant tree sitting garden leaf flower emotion,,Sitting park Humans of New York New York City Parent Humans of New York Humans of New York Sister Love Facebook Facebook Watch
9,https://instagram.fftw1-1.fna.fbcdn.net/vp/fdf6123a00e1eb7b01de470fa3af7758/5B4A4412/t51.2885-15/e35/26362905_1974534949539091_6629540535457546240_n.jpg,"“I want to do something for our nation. At first I wanted to be a doctor, but I discovered another path to saving lives. I’m studying agriculture now. I’d like to help invent new seeds to increase yields. Small farmers in India are struggling. They just can’t compete with industrial farms. Most of them live in isolated villages, and it costs too much to bring their goods to market. It can be cheaper for them to dump their crops on the side of the road. Meanwhile people in our country are going hungry! It doesn’t make any sense. But if we invent new seeds that increase the yield of their land, small farmers can survive. If I do my job well, there will be no need for doctors. Also my mom would like to see my name in the newspaper.” (Udaipur, India)",185.9k,"1,485",jeans sitting street road trousers shoe window denim,,Agriculture Genetically modified organism Crop Small farm Genetically modified crops Genetically modified food Intensive animal farming Farm United States Department of Agriculture Agricultural science
10,https://instagram.fftw1-1.fna.fbcdn.net/vp/377a461546d031dea222763b93428ce4/5B45FE65/t51.2885-15/e35/26372700_1774352486201780_2843071649039777792_n.jpg,"“Marriage is about two things: sexual satisfaction and building generations. Nothing more. Only useless people are thinking about love. The result of a love marriage is never satisfactory. Divorce, arguments, affairs. These things don’t happen in arranged marriage. Arranged marriage is always successful. Love is for useless people. But if you’re going to feel love, at the very least, make sure it’s someone of a similar income level.” (Jaipur, India)",150.2k,13.6k,red woman senior citizen sitting tradition standing temple fun costume ceremony,,Brandon Stanton Marriage Love marriage Arranged marriage Divorce Love Affair couple Human sexual activity Interpersonal relationship
11,https://instagram.fftw1-1.fna.fbcdn.net/vp/82faeabd7e4696f2bedf9c408ef55a67/5B10E330/t51.2885-15/e35/26373421_1614696821943704_7684346260966342656_n.jpg,"“We have to keep our relationship secret. Our parents would not approve and we’re not courageous enough to tell them yet. So we meet in secret three or four times per month. Since the beginning of our relationship, we’ve shared a diary. We take turns keeping it. Whoever has it will write down our memories. They’ll also write down what they want from the other person, and how they feel misunderstood. Then every time we meet—we hand it off.” (Calcutta, India)",361.3k,"5,060",pink textile design material pattern,,Aesthetic Words  Camila Fifth Harmony Havana Humans of New York January Havana Blog Crying in the Club
12,https://instagram.fftw1-1.fna.fbcdn.net/vp/02501fd6c87dda136a3eaf622befbecd/5B184888/t51.2885-15/e35/26373095_2089176717984152_4654420251532853248_n.jpg,"“I used to drink beer every once in awhile. That was all. But several members of my family died in a few years time. The worst was my brother. He was younger than me. And after his death I lost all control. Now I can’t stop drinking. I’ll quit for a few weeks at a time, but then I’ll get this feeling: ‘Let me have a little bit today.’ Then I’ll drink continuously for five or six days until the shivers kick in. It’s ruining my health. It’s causing me to neglect my work. My family is ashamed. And I live with a constant feeling of doing wrong. But I can’t stop. And even if I did, I feel like I’m too old and it’s too late.” (Jaipur, India)",126.5k,"1,389",facial hair pattern,,Brandon Stanton Beer Coffee Humans of New York: The Series Humans of New York Drink Death Drinking Humans of New York Man
13,https://instagram.fftw1-1.fna.fbcdn.net/vp/b7d3fc2a893dfa63c2ce69c18519c9ca/5B11D327/t51.2885-15/e35/26187549_228602564349700_7617811367805845504_n.jpg,"“I came to the city when I was twenty and became a fruit seller. It’s allowed me to build a house in my village. I feel healthy. I get to eat. A lot of people don’t get to eat on time. So I’ve gotten everything I wanted. The minute you think: ‘I have a lot’—that’s the moment your spirit is at rest. My spirit is at rest.” (Jaipur, India)",196.1k,"1,083",vendor produce marketplace market public space food stall street food bazaar vehicle,,Brandon Stanton New York City Humans of New York Eating Humans of New York Health Eating disorder Food Produce Fruit
14,https://instagram.fftw1-1.fna.fbcdn.net/vp/22f573b85873544989c1ac7249adc6b8/5B4BF274/t51.2885-15/e35/26185553_389435371516932_7346672625030004736_n.jpg,"“One night there was a huge storm and he didn’t come home from work. I had told him to sleep at the shop, but he wouldn’t listen to me. And by nighttime he still hadn’t arrived. The trains shut down. The phones stopped working. I sat by the window all night with my children. I asked everyone who walked by if they’d seen him. The next morning I went to the temple and said so many prayers. Then at 11 AM, I heard the bell ring. And there he was. He was soaking wet and completely covered in mud. He smelled awful. I started crying so hard. I made him some hot tea and a little food, and he went straight to bed. When he finally woke up, I informed him that he would be moving his shop next to the house.” (Mumbai, India)",229k,"1,582",car vehicle motor vehicle product,"MH. 01.cS.-3497
 MH. 01.cS.-3497",Brandon Stanton Humans of New York Car He Wouldn't Listen Night Humans of New York Train Magazine Author Flipboard
15,https://instagram.fftw1-1.fna.fbcdn.net/vp/ee205a0ec740a44fd1ef113f56d7dad9/5B4E17CA/t51.2885-15/e35/26184663_986932171445354_1942952559425617920_n.jpg,"“I sell grain for people to feed the pigeons and cows. It’s a way to get good karma. This has been our family’s business for eighty years. It began with my grandfather, then my father, and now it’s mine. I have about 250 or 300 clients that I see every day. Things were going very well. We had two houses. A car. Lots of gold. But a few years ago my brother-in-law got kidney disease. Our family spent everything to save him. We travelled all over India. People said: ‘go here, go there,’ and we always went. And we always paid whatever they asked. My mother even donated her kidney. But nothing worked. He died seven months ago. My parents passed away soon after because of the stress. Now I’m all alone. I own nothing but a scooter. I still believe in karma. Without it I have nothing left. But only God knows what I did to deserve this. If I knew, I wouldn’t have done it.” (Jaipur, India)",188.1k,"1,914",street food food vendor cuisine,,New York City Cattle Humans of New York Family Business Facebook Sales Photography Love Blog
16,https://instagram.fftw1-1.fna.fbcdn.net/vp/5f8e26481af2d0aea3f21d00777ac757/5B13EA89/t51.2885-15/e35/26228525_1614792598597038_3233627473535041536_n.jpg,"“I don’t want her to depend on anyone when she grows up. From the very beginning, I’ve been dependent. I barely left my home until the age of eighteen. I'd only walk from school to home, and even then I’d be accompanied by my brother. I had no idea how to face the world outside. I never even learned to ride a bike. It’s going to be different for her. I told my husband: ‘Whatever she wants to do, I’m going to support her.’ And I’ve already gotten a bike for her. The moment she is old enough, I’m teaching her to ride a bike.” (Jaipur, India)",277.6k,"2,018",public space textile market vendor recreation marketplace girl product picnic,,India Street New York City India Humans of New York Tumblr Facebook Girl Art Child Blog
17,https://instagram.fftw1-1.fna.fbcdn.net/vp/e7028a57fb1b5a78ee68f53f4d163bb1/5B19B9F3/t51.2885-15/e35/26867766_172105766740489_5490304549002412032_n.jpg,"""We let her pick the kite."" (Udaipur, India)",291k,"2,519",people tradition headgear girl temple child family ritual smile event,,Udaipur Karni Mata Karni Mata Temple New York City Jiang Jin Jiu Humans of New York Feminism Photography Society Child
18,https://instagram.fftw1-1.fna.fbcdn.net/vp/662d64b7468a2b1f4ba021edf1414ace/5B17D77A/t51.2885-15/e35/26184755_922429097915690_7139247428577787904_n.jpg,"“We moved to the city thirty years ago when I was a small child. We hardly had a penny at the time. My father sacrificed everything for us. If I needed new clothes, he’d wear old clothes. And he never complained. If business wasn’t good, he’d keep it to himself so we wouldn’t have to worry. Once when I was twelve years old, I really wanted a bicycle. So he bought one for me. Shortly after that, I noticed that he wasn’t wearing his favorite ring. He told me that he was getting it fixed. When I became an adult, I asked him again: ‘Where is that ring? I want to make one just like it.’ Finally he told me: ‘I sold that ring to get your bicycle.’” (Jaipur, India)",309.8k,"4,933",public space facial hair temple textile imam tradition beard bazaar,,港下 Percolate Clothing City Love Worry Facebook Humans of New York Feeling New York City
19,https://instagram.fftw1-1.fna.fbcdn.net/vp/c6675993220b802d84b4c9f1ebb415c4/5B4A1499/t51.2885-15/e35/26187968_178955266035954_2186658482793480192_n.jpg,"Today in microfashion... (Mumbai, India)",200.2k,763,clothing footwear road tartan infrastructure plaid snapshot pattern design street,,New York City Humans of New York: The Series Mumbai Humans of New York Tartan Woman Graphic Designer Girl New Year's resolution Design
20,https://instagram.fftw1-1.fna.fbcdn.net/vp/d8fd27ffd98a97f32250ad0e729062fa/5B10CCC5/t51.2885-15/e35/26073869_447928045609498_2478150658973237248_n.jpg,"“The only time they’re peaceful is when they’re watching cartoons. They argue over everything. They fight over toys. They call each other names. But as much as they fight, they also can’t live without each other. Anytime I try to separate them, two minutes later they’re talking again.” (Jaipur, India)",182.2k,"1,802",people child girl temple recreation tree smile product fun family,,New York City India Humans of New York: The Series Toy Humans of New York Child Facebook Girl English Family
21,https://instagram.fftw1-1.fna.fbcdn.net/vp/c04282d397c6fa35d236a8deb5e99ff2/5B439E4E/t51.2885-15/e35/26343200_751616328367274_1179938292007698432_n.jpg,"“My wife passed away last month. She started shivering when she came out of the bath, and then she fainted. I took her to the hospital but she had a heart attack before I could admit her. I’m trying to stay busy. I’m OK when I’m at work, but the minute I enter my home, I begin to think about her. Her photographs are still by my bedside. Thankfully my ten-year-old grandson has been sleeping with me. He watches my shows with me. And he talks constantly. He goes on about his school and his class and his teachers. A lot of what he says is nonsense, but I enjoy it. And when he falls asleep, I fall asleep.” (Jaipur, India)",399.3k,"4,820",senior citizen face man person head eye chin forehead human elder,,Shivering Portrait Eye Wife Sadness Death Myocardial infarction Humans of New York Photograph Violin
22,https://instagram.fftw1-1.fna.fbcdn.net/vp/9f206279616e022689e63ab5260278b6/5B4A5D04/t51.2885-15/e35/26155187_1707241172630560_384980875340677120_n.jpg,"“I came to the city when I was twenty-one because I wanted to meet my favorite actor. I thought that I’d wait outside his apartment, and he’d appear shirtless on his balcony just like in the Bollywood movies. But he never came out. I didn’t want to go home without meeting him because all my friends would laugh at me. So I slept on the streets. I had no money to survive. I began working at a bookstall just so I could eat. And every day after work I’d return to his house to see if I could find him. I finally got my chance when there was a big movie premiere. I knew he’d be there. I waited along the rope line and met all of the other actors. But when my favorite arrived, he walked past without greeting anyone. He didn’t even make eye contact. I was heartbroken. He didn’t even acknowledge his fans. At least now I have a bookshop. I can thank him for that.” (Mumbai, India)",186.4k,"1,667",sitting shopkeeper,,India Sitting Image Photograph Living room Apartment Child Room Film Humans of New York
23,https://instagram.fftw1-1.fna.fbcdn.net/vp/1e208df9d42a9c1b113ab3a152451d44/5B141520/t51.2885-15/e35/26154682_2002349586669751_9213354957644759040_n.jpg,"""I love that she loves love."" (Jaipur, India)",253.7k,"2,168",public space temple bazaar shopkeeper tradition,,Brandon Stanton Jaswant Thada Umaid Bhawan Palace Jaipur Love Humans of New York Antlitz der Zeit: sechzig Aufnahmen deutscher Menschen des 20. Jahrhunderts Soulmate Happiness Feeling
24,https://instagram.fftw1-1.fna.fbcdn.net/vp/ef9bdad157d6345f67c3c23b8f6f257f/5B31F12F/t51.2885-15/e35/26152544_1971137849819745_7294269574432686080_n.jpg,"“My sons used to protect me from my husband. He’s an alcoholic and he becomes violent when he drinks. He beat me so bad once that it injured my spine. My sons used to stand beside me. They’d try to stop it. They’d scream at him not to hit me. Then afterward they’d comfort me. But they’re teenagers now and they’re starting to go down the same path. They stay out drinking until 3 AM. I can’t get them to wake up in the morning. Today they got in a fight and one of them punched his fist through a window. There was blood everywhere. I came out here to calm down but my hands are still shivering. I don’t know what to do. I ask them to stop drinking but they won’t listen. There’s nothing left for me. I gave them life, I guess that’s all I can do.” (Mumbai, India)",245k,"4,661",pink lady beauty girl hairstyle cheek forehead temple black hair human,,New York City India Humans of New York: The Series Brandon Stanton Humans of New York: Stories Woman Humans of New York Facebook Portrait Actor
9,https://instagram.fftw1-1.fna.fbcdn.net/vp/dd0fe2d549e90a9550f70448198eb289/5B3062FB/t51.2885-15/e35/23735456_2055458781340372_2893252745551151104_n.jpg,"“I just moved to New York, so it’s been a little tough meeting people. It seems like everyone already has their own group of friends. So I’m trying to become more of a ‘yes’ person and do things I normally wouldn’t do. Like I came to the park today instead of sitting at home. And I went to my first hockey game yesterday. And I joined a dodge ball team on Thursday nights. Dodge ball is a lot more pressure than I thought it would be. I try to hang back and not throw the ball, but then usually I’m the last one and everyone is aiming at me. The only consolation is knowing that it’s going to be over in two seconds. And after the game we all go to the bar. Our team name is ‘We Throw Things and Drink.’”",201.9k,"1,601",glasses hair vision care facial expression human hair color beauty smile girl blond eye,,"Lauren E. Rose, MA Humans of New York Patricia A. Maani, FNPC Photography Paul Thurrott Microsoft Glasses Portrait Photograph Image"
10,https://instagram.fftw1-1.fna.fbcdn.net/vp/aab0f2d8e96b6bf93cc3215edc95bee5/5B163F37/t51.2885-15/e35/23734228_314731229007811_2407749324583731200_n.jpg,"“The bridge to Rikers Island is called the Bridge of Pain. You’re on this bus. You see the city behind you. And in front of you, you see nothing but four walls. I was sent there for a year when I was nineteen years old. My friends and I got caught stealing copper pipes from a construction site. All of us grew up together. I thought they had my back. But none of them came to see me in prison. I had zero visits. Nobody put money in my account. So I haven’t talked to any of those guys since I got out. I work two jobs now. I stay out of trouble. I’m trying not to be a negative person anymore. I still have anger problems. I think it’s because there was so much yelling and violence in my house growing up. But whenever I feel the anger coming on, I just close my eyes and rub my ears. My baby brothers used to rub my ears when I was growing up. When things got bad in the house-- it always used to calm me down.”",307.7k,"3,350",green yellow standing shoulder outerwear product professional material fun joint,,Rikers Island Bridge Rikers Island Rikers Island Bridge Social media Humans of New York Caught stealing Island Government Content Outerwear
15,https://instagram.fftw1-1.fna.fbcdn.net/vp/80951c145b980785446d55f25715a09d/5B4DA398/t51.2885-15/e35/23667659_290421368133356_672477885826596864_n.jpg,"“I want to be a comedian. A lot of people in my class think I’m funny. Sometimes it can be hard to think of a good joke that isn’t about Trump. But even if you don’t get any laughs, you can usually just keep silent for a few minutes and try again. Sometimes I accidentally make jokes that only I get. Like the other day I tried to tell a joke about that lady who handed out cashews instead of candy for Halloween. But only my friend Aiden knew about the Cashew Lady so nobody laughed. But then later my teacher asked where I got my sources for my constitutional rights paper. And I told her I got them from ‘a sorcerer.’ Even she laughed at that one.”",244.1k,"2,362",jeans road footwear public space infrastructure denim street snapshot shoe headgear,,New York City Donald Trump Humans of New York Comedian Joke Person Homo sapiens Photography Shoe Child
17,https://instagram.fftw1-1.fna.fbcdn.net/vp/60093dae98bdbf57dbe920dfdc087add/5B1ACD79/t51.2885-15/e35/23594986_142154476508756_5815371502442250240_n.jpg,"""A lot of younger people pass by me while I’m running. It’s a bit of a metaphor for the rest of my life. I turned forty-seven in October. I’m starting to have bosses that are younger than me. It’s causing me to question what my experience is worth. I’m noticing that my younger colleagues are more adventurous and take more risks—either because they don’t know about failure or they don’t care. As I get older, I feel like more and more of my life is outside my control. That’s why I started training for the marathon. I want to be in control of something. I can’t control current events. I can’t control politics. I can’t even control my personal relationships. But I can control my legs. I can put one leg in front of the other. I can decide the miles that I run each day, each week, each month. And it feels great. I get a rush every time I make it to the top of a hill.""",320.2k,"4,330",facial expression person smile girl sitting snapshot hairstyle photography fun car,,2017 New York City Marathon Marathon training Shalane Flanagan Marathon Running Training Humans of New York Walking Recreation Physical fitness
